Name;Number;Type 1;Type 2;Image
Charmander;4;Fire;;
Charmeleon;5;Fire;;
Charizard;6;Fire;Flying;
Vulpix;37;Fire; ;
Ninetales;38;Fire;;
Growlithe;58;Fire;;
Growlithe (Hisui);58;Fire;Rock;
Arcanine;59;Fire;;
Arcanine (Hisui);59;Fire;Rock;
Ponyta;77;Fire;;
Rapidash;78;Fire;;
Flareon;136;Fire;;
Slugma;218;Fire;;
Magcargo;219;Fire;Rock;
Taurus (Paldea);128;Fighting;;
Taurus (Paldea-Fire);128;Fighting;Fire;
Taurus (Paldea-Water);128;Fighting;Water;
Rolycoly;837;Rock;;
Carkol;838;Rock;Fire;
Coalossal;839;Rock;Fire;
Onyx;95;Rock;Ground;
Steelix;208;Steel;Ground;
Hitmonchan;107;Fighting;;
Hitmonlee;106;Fighting;;
Hitmontop;237;Fighting;;
Magnemite;81;Electric;Steel;
Magneton;82;Electric;Steel;
Magnezone;462;Electric;Steel;
Magby;240;Fire;;
Magmar;126;Fire;;
Magmortar;467;Fire;;
Torchic;255;Fire;;
Combusken;256;Fire;Fighting;
Blaziken;257;Fire;Fighting;
Tortunator;776;Fire;Dragon;
Scorbunny;813;Fire;;
Raboot;814;Fire;;
Cinderace;815;Fire;;
Chimchar;390;Fire;;
Monferno;391;Fire;Fighting;
Infernape;392;Fire;Fighting;
Tyrogue;236;Fighting;;
Riolu;447;Fighting;;
Lucario;448;Fighting;Steel;
Falinks;870;Fighting;;
Farfetch’d (Galar);83;Fighting;;
Sirfetch’d (Galar);865;Fighting;;
Emboar;500;Fire;Fighting;
Pignite;499;Fire;Fighting;
Tepig;498;Fire;;
Pawmi;921;Electric;;
Pawmo;922;Electric;Fighting;
Pawmot;923;Electric;Fighting;
Flamigo;973;Flying;Fighting;
Hawlucha;701;Fighting;Flying;
Jangmo-o;782;Dragon;;
Hakamo-o;783;Dragon;Fighting;
Kommo-o;784;Dragon;Fighting;
Crabawler;739;Fighting;;
Crabominable;740;Fighting;Ice;
Passimian;766;Fighting;;
Makuhita;296;Fighting;;
Hariyama;297;Fighting;;
Eisenhand (Paradox);992;Fighting;Electric;
Timburr;532;Fighting;;
Gurdurr;533;Fighting;;
Conkeldurr;534;Fighting;;
Thron;538;Fighting;;
Sawk;539;Fighting;;
Mienfoo;619;Fighting;;
Mienshao;620;Fighting;;
Clobbopus;852;Fighting;;
Grapploct;853;Fighting;;
