Name;Number;Type 1;Type 2;Image
Spinarak;167;Bug;Poison;
Ariados;168;Bug;Poison;
Vespiquen;416;Bug;Flying;
Combee;415;Bug;Flying;
Sewaddle;540;Bug;Grass;
Swadloon;541;Bug;Grass;
Leavanny;542;Bug;Grass;
Fomantis;753;Grass;;
Lurantis;754;Grass;;
Skiddo;672;Grass;;
Chevrumm;673;Grass;;
Leafeon;470;Grass;;
Smoliv;928;Grass;Normal;
Dolliv;929;Grass;Normal;
Arboliva;930;Grass;Normal;
Deerling;585;Normal;Grass;
Sawsbuck;586;Normal;Grass;
Toedscool;948;Ground;Grass;
Toedscruel;949;Ground;Grass;
Turtwig;387;Grass;;
Grotle;388;Grass;;
Torterra;389;Grass;Ground;
Applin;840;Grass;Dragon;
Flapple;841;Grass;Dragon;
Appletun;842;Grass;Dragon;
Trapinch;328;Ground;;
Vibrava;329;Ground;Dragon;
Flygon;330;Ground;Dragon;
Paras;46;Bug;Grass;
Parasect;47;Bug;Grass;
Shuckle;213;Bug;Rock;
